Hour,Top 1,Top 1 Consumtion,Top 2,Top 2 Consumtion,Top 3,Top 3 Consumtion
0:00,MAC000034,10.728230018933813,MAC000024,3.3655775217565793,MAC000032,3.14366368938475
1:00,MAC000034,9.89405751980539,MAC000032,2.190099478087335,MAC000003,1.9673255887340861
2:00,MAC000034,9.040727795161205,MAC000032,1.9057406351609665,MAC000021,0.8171277620453425
3:00,MAC000034,5.816569277965724,MAC000032,1.2456117179716475,MAC000021,0.7718766774877347
4:00,MAC000034,3.5275674201611866,MAC000021,0.8041061665792304,MAC000035,0.7298824421808009
5:00,MAC000034,3.488543238319211,MAC000021,0.7910948634884009,MAC000035,0.7185609094142835
6:00,MAC000034,3.2453217556459837,MAC000021,0.854231189470879,MAC000035,0.7236925423996622
7:00,MAC000021,0.952818714140505,MAC000010,0.7712268368065015,MAC000035,0.6931063605742122
8:00,MAC000021,1.0416172294837676,MAC000010,0.9847489887495996,MAC000026,0.6609770487809293
9:00,MAC000021,1.080623061144784,MAC000010,1.0688496186301377,MAC000035,0.8129075485459557
10:00,MAC000021,1.0330689114278848,MAC000010,0.9819024266267965,MAC000035,0.9534483743675106
11:00,MAC000035,1.0671747913423644,MAC000021,0.9669491562123874,MAC000010,0.9664218668811447
12:00,MAC000035,1.1281037528001188,MAC000010,0.983520308638727,MAC000021,0.8783180453242639
13:00,MAC000035,1.2434341132400017,MAC000021,1.101563781116477,MAC000010,1.0554537101524624
14:00,MAC000035,1.1484213746972671,MAC000010,1.0664405779419661,MAC000021,0.8634363309431303
15:00,MAC000035,1.1426734473207942,MAC000010,0.9611729157373575,MAC000021,0.7782122676765347
16:00,MAC000035,1.1689760799420477,MAC000010,0.9848913733865147,MAC000021,0.8441655827967437
17:00,MAC000010,1.446243614764399,MAC000035,1.3694458988244833,MAC000021,0.9241060611765758
18:00,MAC000010,2.0637076680510993,MAC000035,1.3626383499208394,MAC000021,0.9314986054982747
19:00,MAC000010,1.9409773225219855,MAC000035,1.4223551214464463,MAC000021,0.9836272800318498
20:00,MAC000010,1.492350651461348,MAC000035,1.3958650598615103,MAC000022,1.0912983175354725
21:00,MAC000010,1.5745565908526675,MAC000035,1.2990374677698506,MAC000021,0.9685954595889618
22:00,MAC000010,1.2728009468255292,MAC000035,1.0186213726386961,MAC000021,0.9571102809570285
23:00,MAC000010,0.975966505803039,MAC000022,0.8981815534564032,MAC000021,0.8841116504736776
